i, j, k, f
0.975000 0.350000 0.200000 0.000001
0.025000 0.400000 0.200000 0.000002
0.075000 0.400000 0.200000 0.000005
0.125000 0.400000 0.200000 0.000008
0.175000 0.400000 0.200000 0.000011
0.225000 0.400000 0.200000 0.000013
0.275000 0.400000 0.200000 0.000014
0.325000 0.400000 0.200000 0.000015
0.375000 0.400000 0.200000 0.000016
0.425000 0.400000 0.200000 0.000016
0.475000 0.400000 0.200000 0.000017
0.525000 0.400000 0.200000 0.000017
0.575000 0.400000 0.200000 0.000016
0.625000 0.400000 0.200000 0.000016
0.675000 0.400000 0.200000 0.000015
0.725000 0.400000 0.200000 0.000015
0.775000 0.400000 0.200000 0.000013
0.825000 0.400000 0.200000 0.000011
0.875000 0.400000 0.200000 0.000009
0.925000 0.400000 0.200000 0.000006
0.975000 0.400000 0.200000 0.000002
0.025000 0.450000 0.200000 0.000002
0.075000 0.450000 0.200000 0.000006
0.125000 0.450000 0.200000 0.000009
0.175000 0.450000 0.200000 0.000011
0.225000 0.450000 0.200000 0.000013
0.275000 0.450000 0.200000 0.000015
0.325000 0.450000 0.200000 0.000016
0.375000 0.450000 0.200000 0.000017
0.425000 0.450000 0.200000 0.000017
0.475000 0.450000 0.200000 0.000017
0.525000 0.450000 0.200000 0.000017
0.575000 0.450000 0.200000 0.000017
0.625000 0.450000 0.200000 0.000017
0.675000 0.450000 0.200000 0.000016
0.725000 0.450000 0.200000 0.000015
0.775000 0.450000 0.200000 0.000014
0.825000 0.450000 0.200000 0.000012
0.875000 0.450000 0.200000 0.000009
0.925000 0.450000 0.200000 0.000006
0.975000 0.450000 0.200000 0.000002
0.025000 0.500000 0.200000 0.000002
0.075000 0.500000 0.200000 0.000006
0.125000 0.500000 0.200000 0.000009
0.175000 0.500000 0.200000 0.000011
0.225000 0.500000 0.200000 0.000013
0.275000 0.500000 0.200000 0.000015
0.325000 0.500000 0.200000 0.000016
0.375000 0.500000 0.200000 0.000017
0.425000 0.500000 0.200000 0.000017
0.475000 0.500000 0.200000 0.000018
0.525000 0.500000 0.200000 0.000018
0.575000 0.500000 0.200000 0.000017
0.625000 0.500000 0.200000 0.000017
0.675000 0.500000 0.200000 0.000016
0.725000 0.500000 0.200000 0.000015
0.775000 0.500000 0.200000 0.000014
0.825000 0.500000 0.200000 0.000012
0.875000 0.500000 0.200000 0.000009
0.925000 0.500000 0.200000 0.000006
0.975000 0.500000 0.200000 0.000002
0.025000 0.550000 0.200000 0.000002
0.075000 0.550000 0.200000 0.000006
0.125000 0.550000 0.200000 0.000009
0.175000 0.550000 0.200000 0.000011
0.225000 0.550000 0.200000 0.000013
0.275000 0.550000 0.200000 0.000015
0.325000 0.550000 0.200000 0.000016
0.375000 0.550000 0.200000 0.000017
0.425000 0.550000 0.200000 0.000017
0.475000 0.550000 0.200000 0.000017
0.525000 0.550000 0.200000 0.000017
0.575000 0.550000 0.200000 0.000017
0.625000 0.550000 0.200000 0.000017
0.675000 0.550000 0.200000 0.000016
0.725000 0.550000 0.200000 0.000015
0.775000 0.550000 0.200000 0.000014
0.825000 0.550000 0.200000 0.000012
0.875000 0.550000 0.200000 0.000009
0.925000 0.550000 0.200000 0.000006
0.975000 0.550000 0.200000 0.000002
0.025000 0.600000 0.200000 0.000002
0.075000 0.600000 0.200000 0.000005
0.125000 0.600000 0.200000 0.000008
0.175000 0.600000 0.200000 0.000011
0.225000 0.600000 0.200000 0.000013
0.275000 0.600000 0.200000 0.000014
0.325000 0.600000 0.200000 0.000015
0.375000 0.600000 0.200000 0.000016
0.425000 0.600000 0.200000 0.000016
0.475000 0.600000 0.200000 0.000017
0.525000 0.600000 0.200000 0.000017
0.575000 0.600000 0.200000 0.000016
0.625000 0.600000 0.200000 0.000016
0.675000 0.600000 0.200000 0.000015
0.725000 0.600000 0.200000 0.000014
0.775000 0.600000 0.200000 0.000013
0.825000 0.600000 0.200000 0.000011
0.875000 0.600000 0.200000 0.000009
0.925000 0.600000 0.200000 0.000006
0.975000 0.600000 0.200000 0.000002
0.025000 0.650000 0.200000 0.000001
0.075000 0.650000 0.200000 0.000005
0.125000 0.650000 0.200000 0.000008
0.175000 0.650000 0.200000 0.000010
0.225000 0.650000 0.200000 0.000012
0.275000 0.650000 0.200000 0.000013
0.325000 0.650000 0.200000 0.000014
0.375000 0.650000 0.200000 0.000015
0.425000 0.650000 0.200000 0.000015
0.475000 0.650000 0.200000 0.000015
0.525000 0.650000 0.200000 0.000015
0.575000 0.650000 0.200000 0.000015
0.625000 0.650000 0.200000 0.000015
0.675000 0.650000 0.200000 0.000014
0.725000 0.650000 0.200000 0.000014
0.775000 0.650000 0.200000 0.000012
0.825000 0.650000 0.200000 0.000011
0.875000 0.650000 0.200000 0.000008
0.925000 0.650000 0.200000 0.000005
0.975000 0.650000 0.200000 0.000002
0.025000 0.700000 0.200000 0.000002
0.075000 0.700000 0.200000 0.000005
0.125000 0.700000 0.200000 0.000008
0.175000 0.700000 0.200000 0.000010
0.225000 0.700000 0.200000 0.000011
0.275000 0.700000 0.200000 0.000012
0.325000 0.700000 0.200000 0.000013
0.375000 0.700000 0.200000 0.000013
0.425000 0.700000 0.200000 0.000014
0.475000 0.700000 0.200000 0.000014
0.525000 0.700000 0.200000 0.000014
0.575000 0.700000 0.200000 0.000014
0.625000 0.700000 0.200000 0.000013
0.675000 0.700000 0.200000 0.000013
0.725000 0.700000 0.200000 0.000012
0.775000 0.700000 0.200000 0.000011
0.825000 0.700000 0.200000 0.000010
0.875000 0.700000 0.200000 0.000008
0.925000 0.700000 0.200000 0.000005
0.975000 0.700000 0.200000 0.000002
0.025000 0.750000 0.200000 0.000002
0.075000 0.750000 0.200000 0.000005
0.125000 0.750000 0.200000 0.000007
0.175000 0.750000 0.200000 0.000009
0.225000 0.750000 0.200000 0.000010
0.275000 0.750000 0.200000 0.000011
0.325000 0.750000 0.200000 0.000011
0.375000 0.750000 0.200000 0.000011
0.425000 0.750000 0.200000 0.000012
